,Code,Description
7307,Q54.3,"Υποσπαδίας, περινεϊκός"
7308,Q54.4,Συγγενής χορδή
7309,Q54.8,Άλλος υποσπαδίας
7310,Q54.9,"Υποσπαδίας, μη καθορισμένος"
7311,Q55,Άλλες συγγενείς ανωμαλίες των ανδρικών γεννητικών οργάνων
7312,Q55.0,Έλλειψη και απλασία του όρχεος
7313,Q55.1,Υποπλασία του όρχεος και του οσχέου
7314,Q55.2,Άλλες συγγενείς ανωμαλίες του όρχεος και του οσχέου
7315,Q55.3,Ατρησία του σπερματικού πόρου
7316,Q55.4,"Άλλες συγγενείς ανωμαλίες του σπερματικού πόρου, της επιδιδυμίδας, των σπερματοδόχων κύστεων και του προστάτη"
7317,Q55.5,Συγγενής έλλειψη και απλασία του πέους
7318,Q55.6,Άλλες συγγενείς ανωμαλίες του πέους
7319,Q55.8,Άλλες καθορισμένες συγγενείς ανωμαλίες των ανδρικών γεννητικών οργάνων
7320,Q55.9,"Συγγενής ανωμαλία ανδρικού γεννητικού οργάνου, μη καθορισμένη"
7321,Q56,Απροσδιόριστο φύλο και ψευδοερμαφροδιτισμός
7322,Q56.0,"Ερμαφροδιτισμός, που δεν ταξινομείται αλλού"
7323,Q56.1,"Άρρην ψευδερμαφροδιτισμός, που δεν ταξινομείται αλλού"
7324,Q56.2,"Θηλυκός ψευδερμαφροδιτισμός, που δεν ταξινομείται αλλού"
7325,Q56.3,"Ψευδερμαφροδιτισμός, μη καθορισμένος"
7326,Q56.4,"Απροσδιόριστο φύλο, μη καθορισμένο"
7327,Q60,Νεφρική αγενεσία και άλλες ελλειμματικές βλάβες των νεφρών 
7328,Q60.0,"Νεφρική αγενεσία, ετερόπλευρος"
7329,Q60.1,"Νεφρική αγενεσία, αμφοτερόπλευρος"
7330,Q60.2,"Νεφρική αγενεσία, μη καθορισμένη"
7331,Q60.3,"Υποπλασία των νεφρών, ετερόπλευρος"
7332,Q60.4,"Υποπλασία των νεφρών, αμφοτερόπλευρος"
7333,Q60.5,"Υποπλασία των νεφρών, μη καθορισμένη"
7334,Q60.6,Σύνδρομο Potter
7335,Q61,Κυστική νόσος του νεφρού
7336,Q61.0,Συγγενής μονήρης νεφρική κύστη
7337,Q61.1,"Πολυκυστικός νεφρός, αυτοσωμιακός υπολειπόμενος"
7338,Q61.2,"Πολυκυστικός νεφρός, αυτοσωμιακός επικρατούντος τύπου "
7339,Q61.3,"Πολυκυστικός νεφρός, μη καθορισμένος"
7340,Q61.4,Νεφρική δυσπλασία
7341,Q61.5,Κύστεις της μυελώδους μοίρας των νεφρών
7342,Q61.8,Άλλες κυστικές νόσοι του νεφρού
7343,Q61.9,"Κυστική νόσος του νεφρού, μη καθορισμένη"
7344,Q62,Συγγενείς αποφρακτικές διαταραχές της νεφρικής πυέλου και συγγενείς ανωμαλίες του ουρητήρα
7345,Q62.0,Συγγενής υδρονέφρωση
7346,Q62.1,Ατρησία και στένωση του ουρητήρα
7347,Q62.2,Συγγενής μεγαουρητήρας
7348,Q62.3,Άλλες αποφρακτικές διαταραχές της νεφρικής πυέλου και του ουρητήρα
7349,Q62.4,Αγενεσία του ουρητήρα
7350,Q62.5,Διπλασιασμός του ουρητήρα
7351,Q62.6,Ανώμαλη θέση του ουρητήρα
7352,Q62.7,Συγγενής κυστεο-ουρητηρο-νεφρική παλινδρόμηση
7353,Q62.8,Άλλες συγγενείς ανωμαλίες του ουρητήρα 
7354,Q63,Άλλες συγγενείς ανωμαλίες του νεφρού
7355,Q63.0,Επικουρικός νεφρός
7356,Q63.1,"Λοβιώδης, νεφρός από σύμφυση και πεταλοειδής νεφρός"
7357,Q63.2,Έκτοπος νεφρός
7358,Q63.3,Υπερπλαστικός και γιγαντιαίος νεφρός
7359,Q63.8,Άλλες καθορισμένες συγγενείς ανωμαλίες του νεφρού
7360,Q63.9,"Συγγενής ανωμαλία του νεφρού, μη καθορισμένη"
7361,Q64,Άλλες συγγενείς ανωμαλίες του ουροποιητικού συστήματος
7362,Q64.0,Επισπαδίας
7363,Q64.1,Εκστροφή της ουροδόχου κύστης
7364,Q64.2,Συγγενείς βαλβίδες της οπίσθιας ουρήθρας
7365,Q64.3,Άλλη ατρησία και στένωση της ουρήθρας και του αυχένα της ουροδόχου κύστης
7366,Q64.4,Ανωμαλίες του ουραχού
7367,Q64.5,Συγγενής έλλειψη της ουροδόχου κύστης και της ουρήθρας
7368,Q64.6,Συγγενές εκκόλπωμα της ουροδόχου κύστης
7369,Q64.7,Άλλες συγγενείς ανωμαλίες της ουροδόχου κύστης και της ουρήθρας
7370,Q64.8,Άλλες καθορισμένες συγγενείς ανωμαλίες του ουροποιητικού συστήματος
7371,Q64.9,"Συγγενής ανωμαλία του ουροποιητικού συστήματος, μη καθορισμένη"
7372,Q65,Συγγενείς δυσπλασίες του ισχίου
7373,Q65.0,"Συγγενές εξάρθρημα του ισχίου, ετερόπλευρο"
7374,Q65.1,"Συγγενές εξάρθρημα του ισχίου, αμφοτερόπλευρο"
7375,Q65.2,"Συγγενές εξάρθρημα του ισχίου, μη καθορισμένο"
7376,Q65.3,"Συγγενές υπεξάρθρημα του ισχίου, ετερόπλευρο"
7377,Q65.4,"Συγγενές υπεξάρθρημα του ισχίου, αμφοτερόπλευρο"
7378,Q65.5,"Συγγενές υπεξάρθρημα του ισχίου, μη καθορισμένο"
7379,Q65.6,Ασταθές ισχίο
7380,Q65.8,Άλλες συγγενείς δυσπλασίες του ισχίου
7381,Q65.9,"Συγγενής δυσπλασία του ισχίου, μη καθορισμένη"
7382,Q66,Συγγενείς δυσπλασίες του άκρου πόδα
7383,Q66.0,Ραιβοϊπποποδία
7384,Q66.1,Ραιβοπτερνοποδία
7385,Q66.2,Ραιβό μετατάρσιο
7386,Q66.3,Άλλες συγγενείς δυσπλασίες του άκρου πόδα που σχετίζονται με ραιβότητα
7387,Q66.4,Βλαισοπτερνοποδία
7388,Q66.5,Συγγενής πλατυποδία
7389,Q66.6,Άλλες συγγενείς δυσπλασίες του άκρου πόδα που σχετίζονται με βλαισότητα
7390,Q66.7,Κοίλος πους
7391,Q66.8,Άλλες συγγενείς δυσπλασίες του άκρου πόδα
7392,Q66.9,"Συγγενής δυσπλασία του άκρου πόδα, μη καθορισμένη"
7393,Q67,"Συγγενείς μυοσκελετικές δυσπλασίες της κεφαλής, του προσώπου, της σπονδυλικής στήλης και του θώρακα"
7394,Q67.0,Ασυμμετρία του προσώπου
7395,Q67.1,Συμπίεση του προσώπου 
7396,Q67.2,Δολιχοκεφαλία
7397,Q67.3,Πλαγιοκεφαλία
7398,Q67.4,"Άλλες συγγενείς δυσπλασίες του κρανίου, του προσώπου και της γνάθου"
7399,Q67.5,Συγγενής δυσπλασία της σπονδυλικής στήλης
7400,Q67.6,Χωνοειδής θώρακας
7401,Q67.7,Τροπιδοειδής θώρακας
7402,Q67.8,Άλλες συγγενείς δυσπλασίες του θώρακα
7403,Q68,Άλλες συγγενείς μυοσκελετικές δυσπλασίες
7404,Q68.0,Συγγενής δυσπλασία του στερνοκλειδομαστοειδούς μυός
7405,Q68.1,Συγγενής δυσπλασία της άκρας χείρας
7406,Q68.2,Συγγενής δυσπλασία του γόνατος
7407,Q68.3,Συγγενής ραιβότητα του μηριαίου οστού
7408,Q68.4,Συγγενής ραιβότητα της κνήμης και της περόνης
7409,Q68.5,"Συγγενής ραιβότητα των μακρών οστών του κάτω άκρου, μη καθορισμένη"
7410,Q68.8,Άλλες καθορισμένες συγγενείς μυοσκελετικές δυσπλασίες
7411,Q69,Πολυδακτυλία
7412,Q69.0,Υπεράριθμοα δάκτυλοα της άκρας χείρας
7413,Q69.1,Υπεράριθμοςοι αντίχειραςες
7414,Q69.2,Υπεράριθμοα δάκτυλοα του άκρου πόδα
7415,Q69.9,"Πολυδακτυλία, μη καθορισμένη"
7416,Q70,Συνδακτυλία
7417,Q70.0,Σύμφυση δακτύλων της άκρας χείρας
7418,Q70.1,Υμενώδης συνδακτυλία της άκρας χείρας [μεσοδακτύλιες πτυχές]
7419,Q70.2,Σύμφυση δακτύλων του άκρου πόδα
7420,Q70.3,Υμενώδης συνδακτυλία του άκρου πόδα [μεσοδακτύλιες πτυχές]
7421,Q70.4,Πολυσυνδακτυλία 
7422,Q70.9,"Συνδακτυλία, μη καθορισμένη"
7423,Q71,Ελλειμματικές ανωμαλίες του άνω άκρου 
7424,Q71.0,Συγγενής πλήρης έλλειψη τουων άνω άκρουων
7425,Q71.1,Συγγενής έλλειψη του βραχίονα και του αντιβραχίου με παρουσία της άκρας χείρας
7426,Q71.2,Συγγενής έλλειψη αμφότερων του αντιβραχίου και της άκρας χείρας
7427,Q71.3,Συγγενής έλλειψη της άκρας χείρας και δακτύλουων
7428,Q71.4,Επιμήκης ελλειμματική ανωμαλία της κερκίδας
7429,Q71.5,Επιμήκης ελλειμματική ανωμαλία της ωλένης
7430,Q71.6,Χείρα [εκτροδακτυλία] δίκην δαγκάνας αστακού
7431,Q71.8,Άλλες ελλειμματικές ανωμαλίες τουων άνω άκρουων
7432,Q71.9,"Ελλειμματική ανωμαλία του άνω άκρου, μη καθορισμένη"
7433,Q72,Ελλειμματικές ανωμαλίες του κάτω άκρου
7434,Q72.0,Συγγενής πλήρης έλλειψη τουων κάτω άκρουων
7435,Q72.1,Συγγενής έλλειψη του μηρού και της κνήμης με παρουσία του άκρου πόδα
7436,Q72.2,Συγγενής έλλειψη αμφότερων της κνήμης και του άκρου πόδα
7437,Q72.3,Συγγενής έλλειψη του άκρου πόδα και δακτύλουων
7438,Q72.4,Επιμήκης ελλειμματική ανωμαλία του μηριαίου οστού 
7439,Q72.5,Επιμήκης ελλειμματική ανωμαλία του οστού της κνήμης 
7440,Q72.6,Επιμήκης ελλειμματική ανωμαλία της περόνης 
7441,Q72.7,Σχιστοποδία
7442,Q72.8,Άλλες ελλειμματικές ανωμαλίες τουων κάτω άκρουων 
7443,Q72.9,"Ελλειμματική ανωμαλία του κάτω άκρου, μη καθορισμένη"
7444,Q73,Ελλειμματικές ανωμαλίες μη καθορισμένου άκρου
7445,Q73.0,Συγγενής έλλειψη μη καθορισμένουων άκρουων
7446,Q73.1,"Φωκομελία, μη καθορισμένουων άκρουων"
7447,Q73.8,Άλλες ελλειμματικές ανωμαλίες μη καθορισμένουων άκρουων 
7448,Q74,Άλλες συγγενείς ανωμαλίες τουων άκρουων
7449,Q74.0,"Άλλες συγγενείς ανωμαλίες τουων άνω άκρουων, περιλαμβανομένης της ωμικής ζώνης"
7450,Q74.1,Συγγενής ανωμαλία του γόνατος
7451,Q74.2,"Άλλες συγγενείς ανωμαλίες τουων κάτω άκρουων, περιλαμβανομένης και της πυελικής ζώνης"
7452,Q74.3,Πολλαπλή συγγενής αρθρογρύπωση
7453,Q74.8,Άλλες καθορισμένες συγγενείς ανωμαλίες τουων άκρουων
7454,Q74.9,Μη καθορισμένη συγγενής ανωμαλία των άκρων
7455,Q75,Άλλες συγγενείς ανωμαλίες των οστών του κρανίου και του προσώπου
7456,Q75.0,Κρανιοσυνοστέωση
7457,Q75.1,Κρανιοπροσωπική δυσόστωση
7458,Q75.2,Υπερτελορισμός
7459,Q75.3,Μακροκεφαλία
7460,Q75.4,Γναθοπροσωπική δυσόστωση
7461,Q75.5,Γναθοφθαλμική δυσόστωση 
7462,Q75.8,Άλλες καθορισμένες συγγενείς ανωμαλίες των οστών του κρανίου και του προσώπου
7463,Q75.9,"Συγγενής ανωμαλία των οστών του κρανίου και του προσώπου, μη καθορισμένη"
7464,Q76,Συγγενείς ανωμαλίες της σπονδυλικής στήλης και των οστών του θώρακα
7465,Q76.0,Λανθάνουσα δισχιδής ράχη
7466,Q76.1,Σύνδρομο Klippel-Feil 
7467,Q76.2,Συγγενής σπονδυλολίσθηση
7468,Q76.3,Συγγενής σκολίωση που οφείλεται σε συγγενή οστική ανωμαλία
7469,Q76.4,"Άλλες συγγενείς ανωμαλίες της σπονδυλικής στήλης, που δε σχετίζονται με σκολίωση"
7470,Q76.5,Αυχενική πλευρά
7471,Q76.6,Άλλες συγγενείς ανωμαλίες των πλευρών
7472,Q76.7,Συγγενής ανωμαλία του στέρνου
7473,Q76.8,Άλλες συγγενείς ανωμαλίες των οστών του θώρακα
7474,Q76.9,"Συγγενής ανωμαλία των οστών του θώρακα, μη καθορισμένη"
7475,Q77,Οστεοχονδροδυσπλασία με ελαττωματική ανάπτυξη των μακρών οστών και της σπονδυλικής στήλης
7476,Q77.0,Αχονδρογένεση
7477,Q77.1,Θνησιγενές κοντό ανάστημα
7478,Q77.2,Σύνδρομο βραχείας κοντής πλευράς
7479,Q77.3,Χονδροδυσπλασία στικτή
7480,Q77.4,Αχονδροπλασία
7481,Q77.5,Δυστροφική δυσπλασία
7482,Q77.6,Χονδροεξωδερμική δυσπλασία
7483,Q77.7,Σπονδυλοεπιφυσιακή δυσπλασία
7484,Q77.8,Άλλη οστεοχονδροδυσπλασία που με ελαττωματική ανάπτυξη των μακρών οστών και της σπονδυλικής στήλης
7485,Q77.9,"Οστεοχονδροδυσπλασία με ελαττωματική ανάπτυξη των μακρών οστών και της σπονδυλικής στήλης, μη καθορισμένη"
7486,Q78,Άλλες οστεοχονδροδυσπλασίες
7487,Q78.0,Ατελής οστεογένεση
7488,Q78.1,Πολυοστική ινώδης δυσπλασία
7489,Q78.2,Οστεοπέτρωση
7490,Q78.3,Προϊούσα διαφυσιακή δυσπλασία
7491,Q78.4,Εγχονδρωμάτωση
7492,Q78.5,Μεταφυσιακή δυσπλασία
7493,Q78.6,Πολλαπλές συγγενείς εξοστώσεις
7494,Q78.8,Άλλες καθορισμένες οστεοχονδροδυσπλασίες
7495,Q78.9,"Οστεοχονδροδυσπλασία, μη καθορισμένη"
7496,Q79,"Συγγενείς ανωμαλίες του μυοσκελετικόυ συστήματος, που δεν ταξινομούνται αλλού"
7497,Q79.0,Συγγενής κήλη διαφράγματος 
7498,Q79.1,Άλλες συγγενείς ανωμαλίες του διαφράγματος
7499,Q79.2,Εξόμφαλος
7500,Q79.3,Γαστρόσχιση
7501,Q79.4,Σύνδρομο prune belly 
7502,Q79.5,Άλλες συγγενείς ανωμαλίες του κοιλιακού τοιχώματος 
7503,Q79.6,Σύνδρομο Ehlers-Danlos
7504,Q79.8,Άλλες συγγενείς ανωμαλίες του μυοσκελετικού συστήματος
7505,Q79.9,"Συγγενής ανωμαλία του μυοσκελετικού συστήματος, μη καθορισμένη"
7506,Q80,Συγγενής ιχθύαση
7507,Q80.0,Κοινή ιχθύαση
7508,Q80.1,Φυλοσύνδετη ιχθύαση
7509,Q80.2,Φυλλώδης ιχθύαση
7510,Q80.3,Πομφολυγώδης συγγενής ιχθυασόμορφη ερυθροδερμία
7511,Q80.4,Εμβρυο αρλεκίνος [ιχθύαση τύπου αρλεκίνου]
7512,Q80.8,Άλλες περιπτώσεις συγγενούς ιχθύασης
7513,Q80.9,"Συγγενής ιχθύαση, μη καθορισμένη"
7514,Q81,Πομφολυγώδης επιδερμόλυση
7515,Q81.0,Απλή πομφολυγώδης επιδερμόλυση
7516,Q81.1,Θανατηφόρος [συνδετική] πομφολυγώδης επιδερμόλυση
7517,Q81.2,Δυστροφική πομφολυγώδης επιδερμόλυση
7518,Q81.8,Άλλη πομφολυγώδης επιδερμόλυση
7519,Q81.9,"Πομφολυγώδης επιδερμόλυση, μη καθορισμένη"
7520,Q82,Άλλες συγγενείς ανωμαλίες του δέρματος
7521,Q82.0,Κληρονομικό λεμφοίδημα
7522,Q82.1,Μελαγχρωματικό ξηρόδερμα
7523,Q82.2,Μαστοκύτωση
7524,Q82.3,Ακράτεια μελανίνης
7525,Q82.4,Εξωδερμική δυσπλασία ανιδρωτική
7526,Q82.5,Συγγενής μη-νεοπλασματικός σπίλος
7527,Q82.8,Άλλες καθορισμένες συγγενείς ανωμαλίες του δέρματος
7528,Q82.9,"Συγγενής ανωμαλία του δέρματος, μη καθορισμένη"
7529,Q83,Συγγενείς ανωμαλίες του μαστού
7530,Q83.0,Συγγενής έλλειψη του μαστού με έλλειψη της θηλής
7531,Q83.1,Επικουρικός μαστός
7532,Q83.2,Έλλειψη θηλής
7533,Q83.3,Επικουρική θηλή
7534,Q83.8,Άλλες συγγενείς ανωμαλίες του μαστού
7535,Q83.9,"Συγγενής ανωμαλία του μαστού, μη καθορισμένη"
7536,Q84,Άλλες συγγενείς ανωμαλίες οργάνων του καλυπτήριου συστήματος
7537,Q84.0,Συγγενής αλωπεκία
7538,Q84.1,"Συγγενείς μορφολογικές διαταραχές των τριχών, που δεν ταξινομούνται αλλού"
7539,Q84.2,Άλλες συγγενείς ανωμαλίες των τριχών
7540,Q84.3,Ανωνυχία
7541,Q84.4,Συγγενής λευκωνυχία
7542,Q84.5,Διογκωμένοι και υπερτροφικοί όνυχες
7543,Q84.6,Άλλες συγγενείς ανωμαλίες των ονύχων
7544,Q84.8,Άλλες καθορισμένες συγγενείς ανωμαλίες οργάνων του καλυπτήριου συστήματος
7545,Q84.9,"Συγγενής ανωμαλία οργάνου του καλυπτήριου συστήματος, μη καθορισμένη"
7546,Q85,"Φακωματώσεις, που δεν ταξινομούνται αλλού"
7547,Q85.0,Νευρινωμάτωση μη κακοήθης
7548,Q85.1,Οζώδης σκλήρυνση
7549,Q85.8,"Άλλες φακωματώσεις, που δεν ταξινομούνται αλλού"
7550,Q85.9,"Φακωμάτωση, μη καθορισμένη"
7551,Q86,"Σύνδρομα συγγενών ανωμαλιών που οφείλονται σε γνωστά εξωγενή αίτια,  που δεν ταξινομούνται αλλού"
7552,Q86.0,Εμβρυϊκό αλκοολικό σύνδρομο δυσμορφικό
7553,Q86.1,Εμβρυϊκό σύνδρομο από υδαντοΐνη
7554,Q86.2,Δυσμορφισμός που οφείλεται στη βαρφαρίνη
7555,Q86.8,Άλλα σύνδρομα συγγενών ανωμαλιών που οφείλονται σε γνωστά εξωγενή αίτια
7556,Q87,Άλλα καθορισμένα σύνδρομα συγγενών ανωμαλιών που προσβάλλουν πολλαπλά συστήματα
7557,Q87.0,Σύνδρομα συγγενών ανωμαλιών που προσβάλλουν κυρίως την εμφάνιση του προσώπου
7558,Q87.1,Σύνδρομα συγγενών ανωμαλιών που σχετίζονται κυρίως με χαμηλό ανάστημα
7559,Q87.2,Σύνδρομα συγγενών ανωμαλιών που αφορούν κυρίως τα άκρα
7560,Q87.3,Σύνδρομα συγγενών ανωμαλιών που αφορούν πρώιμη υπερβολική ανάπτυξη
7561,Q87.4,Σύνδρομο Marfan
7562,Q87.5,Άλλα σύνδρομα συγγενών ανωμαλιών με άλλες σκελετικές μεταβολές
7563,Q87.8,"Άλλα καθορισμένα σύνδρομα συγγενών ανωμαλιών, που δεν ταξινομούνται αλλού"
7564,Q89,"Άλλες συγγενείς ανωμαλίες, που δεν ταξινομούνται αλλού"
7565,Q89.0,Συγγενείς ανωμαλίες του σπλήνα
7566,Q89.1,Συγγενείς ανωμαλίες των επινεφριδίων
7567,Q89.2,Συγγενείς ανωμαλίες άλλων ενδοκρινών αδένων
7568,Q89.3,Αναστροφή σπλάγχνων
7569,Q89.4,Σιαμαίοι δίδυμοι
7570,Q89.7,"Πολλαπλές συγγενείς ανωμαλίες, που δεν ταξινομούνται αλλού"
7571,Q89.8,Άλλες καθορισμένες συγγενείς ανωμαλίες
7572,Q89.9,"Συγγενής ανωμαλία, μη καθορισμένη"
7573,Q90,Σύνδρομο Down
7574,Q90.0,"Τρισωμία 21, μειωτικός μη διαχωρισμός"
7575,Q90.1,"Τρισωμία 21, μωσαϊκισμός μιτωτικός μη διαχωρισμός"
7576,Q90.2,"Τρισωμία 21, μετάθεση"
7577,Q90.9,"Σύνδρομο Down, μη καθορισμένο"
7578,Q91,Σύνδρομο Edwards και σύνδρομο Patau
7579,Q91.0,"Τρισωμία 18, μειωτικός μη διαχωρισμός"
7580,Q91.1,"Τρισωμία 18, μωσαϊκισμός μιτωτικός μη διαχωρισμός"
7581,Q91.2,"Τρισωμία 18, μετάθεση"
7582,Q91.3,"Σύνδρομο Edwards, μη καθορισμένο"
7583,Q91.4,"Τρισωμία 13, μειωτικός μη διαχωρισμός"
7584,Q91.5,"Τρισωμία 13, μωσαϊκισμός μιτωτικός μη διαχωρισμός"
7585,Q91.6,"Τρισωμία 13, μετάθεση"
7586,Q91.7,"Σύνδρομο Patau, μη καθορισμένο"
7587,Q92,"Άλλες τρισωμίες και μερικές τρισωμίες των αυτοσωμικών χρωμοσωμάτων, που δεν ταξινομούνται αλλού"
7588,Q92.0,"Ολική χρωμοσωμική τρισωμία, μειωτικός μη διαχωρισμός"
7589,Q92.1,"Ολική χρωμοσωμική τρισωμία, μωσαϊκισμός μιτωτικός μη διαχωρισμός"
7590,Q92.2,Μείζων μερική τρισωμία
7591,Q92.3,Ελλάσσων μερική τρισωμία
7592,Q92.4,Διπλασιασμοί που παρατηρούνται μόνο στην προμετάφαση
7593,Q92.5,Διπλασιασμοί σε συνδυασμό με άλλες σύνθετες χρωμοσωμικές ανακατατάξεις
7594,Q92.6,Υπερσημειακά χρωμοσώματα 
7595,Q92.7,Τριπλοειδία και πολυπλοειδία
7596,Q92.8,Άλλες καθορισμένες τρισωμίες και μερικές τρισωμίες των αυτοσωμικών χρωμοσωμάτων
7597,Q92.9,"Τρισωμία και μερική τρισωμία των αυτοσωμικών χρωμοσωμάτων, μη καθορισμένη"
7598,Q93,Μονοσωμίες και ελλείψεις των αυτοσωμικών χρωμοσωμάτων που δεν ταξινομούνται αλλού
7599,Q93.0,"Ολική χρωμοσωμική μονοσωμία, μειωτικός μη διαχωρισμός"
7600,Q93.1,"Ολική χρωμοσωμική μονοσωμία, μωσαϊκισμός μιτωτικός μη διαχωρισμός"
7601,Q93.2,Αντικατάσταση χρωμοσώματος από κυκλικό ή δικεντρικό χρωμόσωμα
7602,Q93.3,Έλλειψη του βραχέος σκέλους του χρωμοσώματος 4
7603,Q93.4,Έλλειψη του βραχέος σκέλους του χρωμοσώματος 5
7604,Q93.5,Άλλες ελλείψεις τμήματος ενός χρωμοσώματος
7605,Q93.6,Ελλείψεις που παρατηρούνται μόνο στην προμετάφαση
7606,Q93.7,Ελλείψεις σε συνδυασμό με άλλες σύνθετες ανακατατάξεις
7607,Q93.8,Άλλες ελλείψεις από τα αυτοσωμικά χρωμοσώματα
7608,Q93.9,"Έλλειψη από τα αυτοσωμικά χρωμοσώματα, μη καθορισμένη"
7609,Q95,"Ισορροπημένες ανακατατάξεις και δομικοί δείκτες, που δεν ταξινομούνται αλλού"
7610,Q95.0,Ισορροπημένη μετάθεση και εισαγωγή σε φυσιολογικό άτομο
7611,Q95.1,Χρωμοσωμική αναστροφή σε φυσιολογικό άτομο
7612,Q95.2,Ισορροπημένη αυτοσωμική ανακατάταξη σε μη φυσιολογικό άτομο
7613,Q95.3,"Ισορροπημένη ανακατάταξη των φυλετικών και αυτοσωμικών, χρωμοσωμιακών, σε μη φυσιολογικό άτομο"
7614,Q95.4,Άτομα με δείκτες ετεροχρωματίνης
7615,Q95.5,Άτομα με αυτοσωμικά χρωμοσώματα με εύθραυστες περιοχές
7616,Q95.8,Άλλες ισορροπημένες ανακατατάξεις και δομικοί δείκτες
7617,Q95.9,"Ισορροπημένη ανακατάταξη και δομικός δείκτης, μη καθορισμένα"
7618,Q96,Σύνδρομο Turner
7619,Q96.0,"Καρυότυπος 45,Χ"
7620,Q96.1,"Καρυότυπος 46,Χ iso Xq"
7621,Q96.2,"Καρυότυπος 46,Χ με ανώμαλο φυλετικό χρωμόσωμα, εκτός του iso Xq"
7622,Q96.3,"Μωσαϊκισμός 45,Χ/46,ΧΧ ή ΧΥ"
7623,Q96.4,"Μωσαϊκισμός 45,Χ/άλλες κυτταρικές σειρές με ανώμαλο φυλεκτικό χρωμόσωμα"
7624,Q96.8,Άλλες παραλλαγές του συνδρόμου Turner
7625,Q96.9,"Σύνδρομο Turner, μη καθορισμένο"
7626,Q97,"Άλλες ανωμαλίες των φυλετικών χρωμοσωμάτων, με θήλυ φαινότυπο, που δεν ταξινομούνται αλλού"
7627,Q97.0,"Καρυότυπος 47,ΧΧΧ"
7628,Q97.1,Θήλυ με περισσότερα από τρία Χ χρωμοσώματα
7629,Q97.2,"Μωσαϊκισμός, σειρές με διάφορους αριθμούς Χ χρωμοσωμάτων"
7630,Q97.3,"Θήλυ με 46,ΧΥ καρυότυπο"
7631,Q97.8,"Άλλες καθορισμένες ανωμαλίες των φυλετικών χρωμοσωμάτων, με θήλυ φαινότυπο"
7632,Q97.9,"Ανωμαλία των φυλετικών χρωμοσωμάτων, με θήλυ φαινότυπο, μη καθορισμένη"
7633,Q98,"Άλλες ανωμαλίες των φυλετικών χρωμοσωμάτων, με άρρενα φαινότυπο, που δεν ταξινομούνται αλλού"
7634,Q98.0,"Σύνδρομο Klinefelter με καρυότυπο 47,ΧΧΥ"
7635,Q98.1,"Σύνδρομο Klinefelter, άρρεν με περισσότερα από δύο Χ χρωμοσώματα"
7636,Q98.2,"Σύνδρομο Klinefelter, άρρεν με καρυότυπο 46,ΧΧ"
7637,Q98.3,"Άλλος φαινότυπος άρρενος με καρυότυπο 46,ΧΧ"
7638,Q98.4,"Σύνδρομο Klinefelter, μη καθορισμένο"
7639,Q98.5,"Καρυότυπος 47,ΧΥΥ"
7640,Q98.6,Άρρεν με δομική ανωμαλία των φυλετικών χρωμοσωμάτων
7641,Q98.7,Άρρεν με μωσαϊκισμό των φυλετικών χρωμοσωμάτων
7642,Q98.8,"Άλλες καθορισμένες ανωμαλίες των φυλετικών χρωμοσωμάτων, με άρρενα φαινότυπο"
7643,Q98.9,"Ανωμαλία των φυλετικών χρωμοσωμάτων, με άρρενα φαινότυπο, μη καθορισμένη"
7644,Q99,"Άλλες χρωμοσωμικές ανωμαλίες, που δεν ταξινομούνται αλλού"
7645,Q99.0,"Xιμαιρισμός 46,ΧΧ/46,ΧΥ"
7646,Q99.1,"46,ΧΧ αληθής ερμαφροδιτισμός"
7647,Q99.2,Εύθραυστο Χ χρωμόσωμα
7648,Q99.8,Άλλες καθορισμένες χρωμοσωμικές ανωμαλίες
7649,Q99.9,"Χρωμοσωμική ανωμαλία, μη καθορισμένη"
7650,R00,Διαταραχές του καρδιακού παλμού
7651,R00.0,"Ταχυκαρδία, μη καθορισμένη"
7652,R00.1,"Βραδυκαρδία, μη καθορισμένη"
7653,R00.2,Αίσθημα παλμών
7654,R00.8,Άλλες και μη καθορισμένες διαταραχές του καρδιακού παλμού
7655,R01,Καρδιακά φυσήματα και άλλοι καρδιακοί ήχοι
7656,R01.0,Καλοήθη και αθώα καρδιακά φυσήματα
7657,R01.1,"Καρδιακό φύσημα, μη καθορισμένο"
7658,R01.2,Άλλοι καρδιακοί ήχοι
7659,R02,"Γάγγραινα, που δεν ταξινομείται αλλού"
7660,R03,"Παθολογική τιμή αρτηριακής πίεσης, χωρίς διάγνωση"
7661,R03.0,"Αυξημένη τιμή αρτηριακής πίεσης, χωρίς διάγνωση υπέρτασης"
7662,R03.1,Μη ειδική χαμηλή τιμή αρτηριακής πίεσης
7663,R04,Αιμορραγία από τις αναπνευστικές οδούς
7664,R04.0,Επίσταξη 
7665,R04.1,Αιμορραγία από το λαιμό
7666,R04.2,Αιμόπτυση
7667,R04.8,Αιμορραγία από άλλες εντοπίσεις των αναπνευστικών οδών
7668,R04.9,"Αιμορραγία από τις αναπνευστικές οδούς, μη καθορισμένη"
7669,R05,Βήχας
7670,R06,Διαταραχές της αναπνοής
7671,R06.0,Δύσπνοια
7672,R06.1,Συριγμός 
7673,R06.2,Συρίττουσα αναπνοή
7674,R06.3,Περιοδική αναπνοή
7675,R06.4,Υπεραερισμός 
7676,R06.5,Στοματική αναπνοή
7677,R06.6,Λόξυγγας
7678,R06.7,Πταρμός
